date,regiao,mental_health_visits,total_atd,periodo,Pandemia_Step,Pandemia_Trend,PosPandemia_Step,PosPandemia_Trend,cos1,sin1,IR,offset
2024-12-01,sul,169359.0,5537357.0,108,0,0,1,33,-0.5000000000000182,0.8660254037844282,30.584807878560117,8.619272590092182
2022-07-01,sul,147159.0,5670166.0,79,0,0,1,4,-1.0,4.41306134138659e-15,25.953208424585807,8.642973673189182
2022-11-01,sul,160759.0,6053194.0,83,0,0,1,8,0.8660254037844304,0.5000000000000144,26.55771481964728,8.70834134560112
2022-10-01,sul,165405.0,5938846.0,82,0,0,1,7,-0.8660254037844386,0.5,27.851370451431137,8.68927011738837
2022-09-01,sul,168925.0,5776479.0,81,0,0,1,6,1.1757847233087767e-14,-1.0,29.243592853016516,8.661549606497093
2018-04-01,sul,97726.0,3954977.0,28,0,0,0,0,-0.499999999999997,-0.8660254037844404,24.70962536571009,8.28273006476133
2018-05-01,sul,94476.0,3950949.0,29,0,0,0,0,-0.8660254037844359,0.5000000000000047,23.91222969468854,8.281711082203556
2018-06-01,sul,88737.0,3629643.0,30,0,0,0,0,0.5,0.8660254037844386,24.447858921662544,8.196889575315065
2022-08-01,sul,177835.0,6446181.0,80,0,0,1,5,-9.772415167715292e-16,1.0,27.587652285903857,8.771243141410267
2022-06-01,sul,140293.0,5884884.0,78,0,0,1,3,1.0,1.322804237270118e-14,23.839552317428858,8.680142308370119
2022-02-01,sul,112740.0,4736730.0,74,1,23,0,0,-0.49999999999998684,-0.8660254037844463,23.801229962442445,8.463102303199236
2018-07-01,sul,94076.0,3895748.0,31,0,0,0,0,-0.8660254037844396,0.4999999999999983,24.14837920727932,8.267640980945627
2018-08-01,sul,102565.0,4238054.0,32,0,0,0,0,0.500000000000006,0.8660254037844353,24.200965820633716,8.351859480606436
2018-09-01,sul,91000.0,3627309.0,33,0,0,0,0,0.8660254037844379,-0.5000000000000012,25.08746842356138,8.196246330029584
2022-05-01,sul,146829.0,6291774.0,77,0,0,1,2,-1.0,-2.447436656384941e-15,23.336661488476857,8.74699834490625
2022-04-01,sul,128826.0,5072770.0,76,0,0,1,1,-2.942866201773178e-15,-1.0,25.39559254608429,8.531642298474628
2022-03-01,sul,153126.0,5665257.0,75,1,24,0,0,0.4999999999999775,0.8660254037844516,27.028959145189706,8.642107538717289
2018-10-01,sul,109284.0,4475717.0,34,0,0,0,0,-0.5000000000000056,0.8660254037844355,24.41709339531521,8.406421841338235
2018-03-01,sul,93063.0,3799601.0,27,0,0,0,0,-0.8660254037844394,0.4999999999999987,24.49283490555982,8.242651340201592
2018-02-01,sul,82272.0,3127761.0,26,0,0,0,0,-0.8660254037844349,-0.5000000000000063,26.303800066565188,8.048072692096449
2022-12-01,sul,139769.0,5379526.0,84,0,0,1,9,-1.0,-1.0287652093474354e-14,25.98165711997674,8.590355545185217
2023-01-01,sul,165088.0,5569906.0,85,0,0,1,10,-1.5677954951632475e-14,1.0,29.63927937024431,8.625133456656844
2023-08-01,sul,232746.0,7448532.0,92,0,0,1,17,-2.3518170388721888e-14,1.0,31.247230998000678,8.915772244977433
2023-07-01,sul,190714.0,6265292.0,91,0,0,1,16,-0.8660254037844392,0.49999999999999917,30.439762424480776,8.742780474384507
2017-06-01,sul,64161.0,2617493.0,18,0,0,0,0,1.0,-6.189806365883577e-19,24.512386470565538,7.86997226843357
2017-07-01,sul,66071.0,2747312.0,19,0,0,0,0,-1.0,-3.674559378078648e-15,24.04932530415184,7.918378258094948
2023-06-01,sul,182741.0,6324614.0,90,0,0,1,15,0.5000000000000131,0.866025403784431,28.89362101782022,8.752204284065472
2017-08-01,sul,78334.0,3130846.0,20,0,0,0,0,0.866025403784437,0.5000000000000028,25.02007444633176,8.049058534553039
2017-09-01,sul,85556.0,3499119.0,21,0,0,0,0,0.8660254037844373,-0.5000000000000023,24.450726025608162,8.160266501506433
2023-05-01,sul,201638.0,7376729.0,89,0,0,1,14,-0.8660254037844318,-0.5000000000000119,27.334337482100807,8.906085594409065
2023-04-01,sul,168862.0,6141997.0,88,0,0,1,13,-0.4999999999999979,-0.8660254037844398,27.49301245181331,8.7229052125604
2017-10-01,sul,96570.0,3766109.0,22,0,0,0,0,-0.8660254037844392,0.49999999999999917,25.641849452578242,8.233797651974035
2023-03-01,sul,215241.0,7277040.0,87,0,0,1,12,-0.5000000000000225,0.8660254037844257,29.578097688070972,8.892479465102626
2017-11-01,sul,93940.0,3728902.0,23,0,0,0,0,1.0,4.892397390223529e-16,25.192402482017496,8.223869099329326
2023-02-01,sul,158309.0,5147652.0,86,0,0,1,11,-0.5000000000000165,-0.866025403784429,30.753632918464575,8.546295967363498
2017-12-01,sul,75661.0,2883017.0,24,0,0,0,0,-1.0,-4.164418097737589e-15,26.243688469405487,7.966592594256467
2018-01-01,sul,84754.0,3323595.0,25,0,0,0,0,0.5000000000000004,0.8660254037844384,25.500700295914513,8.108802307396868
2018-11-01,sul,92193.0,3724671.0,35,0,0,0,0,1.0,8.819313895770708e-15,24.751984806174825,8.222733804765378
2018-12-01,sul,69332.0,2857177.0,36,0,0,0,0,-0.5000000000000026,-0.8660254037844372,24.26591002237523,7.957589353409414
2023-09-01,sul,198259.0,6122598.0,93,0,0,1,18,5.877066674634119e-15,-1.0,32.381515167254165,8.7197417952315
2020-02-01,sul,92376.0,3255998.0,50,0,0,0,0,1.567919291290565e-14,-1.0,28.37102479792678,8.088254112871628
2021-03-01,sul,118299.0,4561456.0,63,1,12,0,0,-0.5000000000000081,0.866025403784434,25.934482323188032,8.425397149789209
