lag,variavel,coef,std_err,p_value,durbin_watson,aic,bic,r_squared,f_statistic,p_value_model,acf_significant_lags
1,_Grand Total,182.84949923411702,20.65124927195666,8.431512260797539e-19,2.073895876283619,1823.2085710653741,1839.2455440721455,0.8494596308928554,129.57869064533207,2.5991420077086872e-42,[0]
2,_Grand Total,182.84949923411702,21.75073398623083,4.22104037636163e-17,2.073895876283619,1823.2085710653741,1839.2455440721455,0.8494596308928554,144.75769705060227,2.0268088675242848e-44,"[0, 2]"
3,_Grand Total,182.84949923411702,22.786216028539243,1.0188532525179491e-15,2.073895876283619,1823.2085710653741,1839.2455440721455,0.8494596308928554,156.0894403533683,7.167859334744575e-46,"[0, 2]"
4,_Grand Total,182.84949923411702,23.99514021150464,2.5314138624897963e-14,2.073895876283619,1823.2085710653741,1839.2455440721455,0.8494596308928554,149.5479147586109,4.8029437237867705e-45,"[0, 2, 4]"
5,_Grand Total,182.84949923411702,25.044379461099293,2.8559565148524397e-13,2.073895876283619,1823.2085710653741,1839.2455440721455,0.8494596308928554,155.8034294453094,7.777974079840705e-46,"[0, 2, 4]"
6,_Grand Total,182.84949923411702,25.943824282296507,1.8163708341333508e-12,2.073895876283619,1823.2085710653741,1839.2455440721455,0.8494596308928554,155.8861890292978,7.596176182451421e-46,"[0, 2, 4]"
8,_Grand Total,182.84949923411702,27.30983456078497,2.1512380552542415e-11,2.073895876283619,1823.2085710653741,1839.2455440721455,0.8494596308928554,158.026053794073,4.1368312261193856e-46,"[0, 2, 4, 7]"
10,_Grand Total,182.84949923411702,27.981472096956637,6.375279365915106e-11,2.073895876283619,1823.2085710653741,1839.2455440721455,0.8494596308928554,166.4460837796243,4.054371327277523e-47,"[0, 2, 4, 7]"
