"periodo","periodo.1","region"
51.7979797979798,12.2003972698176,"sudeste"
52.9449598021027,12.2003972698176,"sudeste"
54.0919398062255,12.2003972698176,"sudeste"
55.2389198103484,12.2003972698176,"sudeste"
56.3858998144712,12.2003972698176,"sudeste"
57.5328798185941,12.2003972698176,"sudeste"
58.679859822717,12.2003972698176,"sudeste"
59.8268398268398,12.2003972698176,"sudeste"
60.9738198309627,12.2003972698176,"sudeste"
62.1207998350855,12.2003972698176,"sudeste"
63.2677798392084,12.2003972698176,"sudeste"
64.4147598433313,12.2003972698176,"sudeste"
65.5617398474541,12.2003972698176,"sudeste"
66.708719851577,12.2003972698176,"sudeste"
67.8556998556999,12.2003972698176,"sudeste"
69.0026798598227,12.2003972698176,"sudeste"
70.1496598639456,12.2003972698176,"sudeste"
71.2966398680684,12.2003972698176,"sudeste"
72.4436198721913,12.2003972698176,"sudeste"
73.5905998763142,12.2003972698176,"sudeste"
74.737579880437,12.2003972698176,"sudeste"
75.8845598845599,12.2003972698176,"sudeste"
77.0315398886827,12.2003972698176,"sudeste"
78.1785198928056,12.2003972698176,"sudeste"
79.3254998969285,12.2003972698176,"sudeste"
80.4724799010513,12.2003972698176,"sudeste"
81.6194599051742,12.2003972698176,"sudeste"
82.766439909297,12.2003972698176,"sudeste"
83.9134199134199,12.2003972698176,"sudeste"
85.0603999175428,12.2003972698176,"sudeste"
86.2073799216656,12.2003972698176,"sudeste"
87.3543599257885,12.2003972698176,"sudeste"
88.5013399299114,12.2003972698176,"sudeste"
89.6483199340342,12.2003972698176,"sudeste"
90.7952999381571,12.2003972698176,"sudeste"
91.94227994228,12.2003972698176,"sudeste"
93.0892599464028,12.2003972698176,"sudeste"
94.2362399505257,12.2003972698176,"sudeste"
95.3832199546485,12.2003972698176,"sudeste"
96.5301999587714,12.2003972698176,"sudeste"
97.6771799628943,12.2003972698176,"sudeste"
98.8241599670171,12.2003972698176,"sudeste"
99.97113997114,12.2003972698176,"sudeste"
101.118119975263,12.2003972698176,"sudeste"
102.265099979386,12.2003972698176,"sudeste"
103.412079983509,12.2003972698176,"sudeste"
104.559059987631,12.2003972698176,"sudeste"
105.706039991754,12.2003972698176,"sudeste"
106.853019995877,12.2003972698176,"sudeste"
108,12.2003972698176,"sudeste"
