"periodo","periodo.1","region"
51.7979797979798,11.5965319239932,"sul"
52.9449598021027,11.5965319239932,"sul"
54.0919398062255,11.5965319239932,"sul"
55.2389198103484,11.5965319239932,"sul"
56.3858998144712,11.5965319239932,"sul"
57.5328798185941,11.5965319239932,"sul"
58.679859822717,11.5965319239932,"sul"
59.8268398268398,11.5965319239932,"sul"
60.9738198309627,11.5965319239932,"sul"
62.1207998350855,11.5965319239932,"sul"
63.2677798392084,11.5965319239932,"sul"
64.4147598433313,11.5965319239932,"sul"
65.5617398474541,11.5965319239932,"sul"
66.708719851577,11.5965319239932,"sul"
67.8556998556999,11.5965319239932,"sul"
69.0026798598227,11.5965319239932,"sul"
70.1496598639456,11.5965319239932,"sul"
71.2966398680684,11.5965319239932,"sul"
72.4436198721913,11.5965319239932,"sul"
73.5905998763142,11.5965319239932,"sul"
74.737579880437,11.5965319239932,"sul"
75.8845598845599,11.5965319239932,"sul"
77.0315398886827,11.5965319239932,"sul"
78.1785198928056,11.5965319239932,"sul"
79.3254998969285,11.5965319239932,"sul"
80.4724799010513,11.5965319239932,"sul"
81.6194599051742,11.5965319239932,"sul"
82.766439909297,11.5965319239932,"sul"
83.9134199134199,11.5965319239932,"sul"
85.0603999175428,11.5965319239932,"sul"
86.2073799216656,11.5965319239932,"sul"
87.3543599257885,11.5965319239932,"sul"
88.5013399299114,11.5965319239932,"sul"
89.6483199340342,11.5965319239932,"sul"
90.7952999381571,11.5965319239932,"sul"
91.94227994228,11.5965319239932,"sul"
93.0892599464028,11.5965319239932,"sul"
94.2362399505257,11.5965319239932,"sul"
95.3832199546485,11.5965319239932,"sul"
96.5301999587714,11.5965319239932,"sul"
97.6771799628943,11.5965319239932,"sul"
98.8241599670171,11.5965319239932,"sul"
99.97113997114,11.5965319239932,"sul"
101.118119975263,11.5965319239932,"sul"
102.265099979386,11.5965319239932,"sul"
103.412079983509,11.5965319239932,"sul"
104.559059987631,11.5965319239932,"sul"
105.706039991754,11.5965319239932,"sul"
106.853019995877,11.5965319239932,"sul"
108,11.5965319239932,"sul"
