"periodo","periodo.1","region"
51.7979797979798,11.2506134973569,"nordeste"
52.9449598021027,11.2506134973569,"nordeste"
54.0919398062255,11.2506134973569,"nordeste"
55.2389198103484,11.2506134973569,"nordeste"
56.3858998144712,11.2506134973569,"nordeste"
57.5328798185941,11.2506134973569,"nordeste"
58.679859822717,11.2506134973569,"nordeste"
59.8268398268398,11.2506134973569,"nordeste"
60.9738198309627,11.2506134973569,"nordeste"
62.1207998350855,11.2506134973569,"nordeste"
63.2677798392084,11.2506134973569,"nordeste"
64.4147598433313,11.2506134973569,"nordeste"
65.5617398474541,11.2506134973569,"nordeste"
66.708719851577,11.2506134973569,"nordeste"
67.8556998556999,11.2506134973569,"nordeste"
69.0026798598227,11.2506134973569,"nordeste"
70.1496598639456,11.2506134973569,"nordeste"
71.2966398680684,11.2506134973569,"nordeste"
72.4436198721913,11.2506134973569,"nordeste"
73.5905998763142,11.2506134973569,"nordeste"
74.737579880437,11.2506134973569,"nordeste"
75.8845598845599,11.2506134973569,"nordeste"
77.0315398886827,11.2506134973569,"nordeste"
78.1785198928056,11.2506134973569,"nordeste"
79.3254998969285,11.2506134973569,"nordeste"
80.4724799010513,11.2506134973569,"nordeste"
81.6194599051742,11.2506134973569,"nordeste"
82.766439909297,11.2506134973569,"nordeste"
83.9134199134199,11.2506134973569,"nordeste"
85.0603999175428,11.2506134973569,"nordeste"
86.2073799216656,11.2506134973569,"nordeste"
87.3543599257885,11.2506134973569,"nordeste"
88.5013399299114,11.2506134973569,"nordeste"
89.6483199340342,11.2506134973569,"nordeste"
90.7952999381571,11.2506134973569,"nordeste"
91.94227994228,11.2506134973569,"nordeste"
93.0892599464028,11.2506134973569,"nordeste"
94.2362399505257,11.2506134973569,"nordeste"
95.3832199546485,11.2506134973569,"nordeste"
96.5301999587714,11.2506134973569,"nordeste"
97.6771799628943,11.2506134973569,"nordeste"
98.8241599670171,11.2506134973569,"nordeste"
99.97113997114,11.2506134973569,"nordeste"
101.118119975263,11.2506134973569,"nordeste"
102.265099979386,11.2506134973569,"nordeste"
103.412079983509,11.2506134973569,"nordeste"
104.559059987631,11.2506134973569,"nordeste"
105.706039991754,11.2506134973569,"nordeste"
106.853019995877,11.2506134973569,"nordeste"
108,11.2506134973569,"nordeste"
